Name,Count
Pesticides And Other Agrochemical Products,84
"Batteries And Accumulators, Other General Purpose Machinery, Tobacco Products, Containers For Storage Or Transport",41
"Basic Chemicals, Fertilisers, Nitrogen Compounds, Plastics And Synthetic Rubber In Primary Forms",38
"Basic Pharmaceutical Products And Pharmaceutical Prep., Pesticides And Other Agrochemical Products",34
"Computer Programming, Consultancy And Related Activities",32
General Purpose Machinery,23
"Pesticides And Other Agrochemical Products, Basic Pharmaceutical Products And Pharmaceutical Prep.",21
Other Transport Equipment,19
Basic Pharmaceutical Products And Pharmaceutical Prep.,18
"Computer Programming, Consultancy And Related Activities, Communication Equipment",17
